LATITUDE,LONGITUDE,ACQ_DATE
64.644554,24.42445,2012-01-27
64.646645,24.425182,2012-02-01
64.644073,24.425926,2012-02-07
64.645348,24.427469,2012-02-18
64.643326,24.428034,2012-02-18
64.645752,24.428961,2012-02-18
59.873734,23.20982,2012-02-21
59.876122,23.217175,2012-02-21
64.645264,24.429617,2012-02-22
64.64637,24.42152,2012-02-22
64.646347,24.423233,2012-02-22
64.644821,24.427744,2012-02-22
64.646042,24.424381,2012-02-22
59.874489,23.216042,2012-02-27
64.64357,24.428835,2012-02-29
60.287785,22.290289,2012-02-29
59.874943,23.214193,2012-02-29
60.285458,22.286083,2012-02-29
59.874607,23.213282,2012-02-29
64.645325,24.426434,2012-02-29
59.88065,23.211111,2012-02-29
64.643898,24.421404,2012-03-01
59.876476,23.215704,2012-03-01
64.643166,24.417789,2012-03-02
64.643326,24.428391,2012-03-02
60.287628,22.28787,2012-03-02
59.876709,23.213293,2012-03-02
64.655312,24.432829,2012-03-03
64.645882,24.424515,2012-03-03
60.285641,22.293013,2012-03-03
64.657661,24.438768,2012-03-03
64.654625,24.438116,2012-03-03
64.650696,24.429359,2012-03-03
59.875385,23.213591,2012-03-04
59.874409,23.220457,2012-03-04
59.876308,23.216904,2012-03-04
64.64328,24.426554,2012-03-04
64.645264,24.427107,2012-03-05
64.645546,24.422112,2012-03-06
59.876068,23.215828,2012-03-07
64.645149,24.425901,2012-03-10
64.648346,24.430374,2012-03-10
64.644699,24.42407,2012-03-10
64.649384,24.430012,2012-03-11
64.64595,24.424978,2012-03-11
64.646851,24.430767,2012-03-11
60.284924,22.290728,2012-03-11
64.647881,24.423973,2012-03-12
64.64592,24.432657,2012-03-12
60.286495,22.28931,2012-03-12
64.64653,24.423727,2012-03-12
64.64534,24.421738,2012-03-12
64.645287,24.430124,2012-03-12
60.28616,22.285915,2012-03-12
59.880638,23.211372,2012-03-12
64.654945,24.436285,2012-03-13
64.645576,24.42675,2012-03-13
60.286884,22.289272,2012-03-13
59.874893,23.217718,2012-03-13
59.876198,23.214033,2012-03-13
64.644142,24.421591,2012-03-13
60.289177,22.284782,2012-03-13
59.881527,23.209919,2012-03-13
64.655571,24.434431,2012-03-14
64.646019,24.426617,2012-03-14
60.285458,22.288788,2012-03-14
59.877892,23.215754,2012-03-15
59.874538,23.214046,2012-03-15
64.647491,24.425772,2012-03-16
60.288113,22.288502,2012-03-16
64.643333,24.425215,2012-03-17
64.646988,24.428511,2012-03-18
64.643845,24.425087,2012-03-18
60.286591,22.292198,2012-03-18
59.87669,23.218546,2012-03-18
59.873287,23.215488,2012-03-18
59.874462,23.217884,2012-03-18
64.644432,24.427475,2012-03-18
64.646744,24.429388,2012-03-18
64.646118,24.426424,2012-03-19
64.656166,24.435799,2012-03-20
64.646141,24.428883,2012-03-20
64.642799,24.426582,2012-03-20
60.286488,22.289196,2012-03-20
64.645699,24.430096,2012-03-20
59.874504,23.216969,2012-03-21
60.287376,22.288603,2012-03-23
64.65432,24.433832,2012-03-23
59.879948,23.214327,2012-03-27
64.644104,24.429386,2012-03-28
64.64698,24.426197,2012-03-29
60.286697,22.286507,2012-03-29
60.286762,22.285009,2012-03-29
59.879246,23.211292,2012-03-29
60.288063,22.291676,2012-03-30
60.284863,22.289614,2012-03-30
59.875721,23.216248,2012-03-30
64.648849,24.428284,2012-03-30
64.64782,24.42802,2012-03-30
64.645882,24.429419,2012-03-31
60.288551,22.293892,2012-04-01
60.288311,22.288538,2012-04-01
60.287544,22.290518,2012-04-01
59.877026,23.2181,2012-04-01
64.644943,24.426291,2012-04-02
60.287479,22.290051,2012-04-04
60.316395,25.518473,2012-04-04
60.318096,25.52335,2012-04-05
60.570179,27.135326,2012-04-05
64.645279,24.42955,2012-04-07
60.286964,22.291536,2012-04-07
60.284771,22.29258,2012-04-08
60.285149,22.284889,2012-04-08
60.286697,22.28854,2012-04-08
64.646278,24.424961,2012-04-09
60.286098,22.288273,2012-04-09
62.583767,22.934256,2012-04-09
64.644447,24.420923,2012-04-09
